company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Sirona Hygiene,E-Commerce,Health Care,New Delhi,Delhi,Sirona Hygiene is a startup that offers intimate and menstrual hygiene products for women.,—,$1M to $10M,2014,www.thesirona.com/,2,Deep Bajaj,Mohit Bajaj,Nov-50,5,M&A,"Dec 21, 2021","₹ 1,00,00,00,000.00",Series B,"$ 1,69,89,528.00",Indian Angel Network,MyGlamm,Propel Accelerator,NB Ventures,Ishan Singh,7
Altigreen Propulsion Labs,Automotive,Autonomous Vehicles,Bengaluru,Karnataka,Altigreen Propulsion Labs develops intellectual property in aftermarket products for automotive systems.,560048,$1M to $10M,2013,www.altigreen.com,3,Amitabh Saran,Lasse Moklegaard,Nov-50,4,Early Stage Venture,"Feb 10, 2022","₹ 3,00,00,00,000.00",Series A,"$ 4,17,14,767.00",Sixth Sense Ventures,Jupiter Capital,Xponentia Capital Partners,Phi Capital,Institutional Investor,11
RAW Pressery,Delivery,Food and Beverage,Mumbai,Maharashtra,"RAW Pressery is a clean-label beverage brand that offers cold-press juices, smoothies, soups, and more.",400013,$1M to $10M,2014,www.rawpressery.com,1,Anuj Rakyan,,101-250,11,M&A,"Jan 24, 2019","$ 1,10,00,000.00",Series C,"$ 3,95,33,853.00",Sequoia Capital,Alteria Capital,InnoVen Capital,DSG Consumer Partners,Peak XV Partners,7
Signature Global,Commercial Real Estate,Financial Services,Gurgaon,Haryana,Signature Global Signature Global is developing four housing projects,122001,$100M to $500M,2013,signatureglobal.in,5,Devender Aggarwal,Lalit Aggarwal,101-250,4,IPO,"May 4, 2022","₹ 4,00,00,00,000.00",Venture - Series Unknown,"$ 14,28,90,994.00",HDFC Capital Advisors,Kohlberg Kravis Roberts,ICICI Prudential Mutual Fund,,,3
WedMeGood,Classifieds,E-Commerce,Gurgaon,Haryana,WedMeGood is an online web and android platform that enables its users to create plans for a wedding wedding.,1220001,—,2014,www.wedmegood.com/,2,Anand Shahani,Mehak S Shahani,Nov-50,3,Early Stage Venture,"Apr 3, 2019","$ 26,00,000.00",Series A,"$ 30,07,200.00",Indian Angel Network,Alok Mittal,Orchid Asia Group Management,Abhijeet Pai,Hemant Kanakia,5
Ather Energy,Automotive,Clean Energy,Bangalore,Karnataka,Ather Energy operates as a manufacturer of electric scooters.,560029,$100M to $500M,2013,www.atherenergy.com,2,Swapnil Jain,Tarun Mehta,1001-5000,10,—,"Sep 4, 2023","₹ 9,00,00,00,000.00",Venture - Series Unknown,"$ 45,04,52,361.00",GIC,Tiger Global Management,HeroMotoCorp,InnoVen Capital,Binny Bansal,10
ekincare,Employee Benefits,Health Care,Hyderabad,Andhra Pradesh,ekincare is a corporate health benefits platform that provides healthcare intervention recommendations.,500081,$1M to $10M,2014,www.ekincare.com/,3,Dinesh Koka,Kiran Kalakuntla,101-250,6,Early Stage Venture,"Mar 16, 2022","$ 1,50,00,000.00",Series B,"$ 2,07,29,000.00",East Ventures,Google for Startups,Eight Roads Ventures,VenturEast,Endiya Partners,16
Playo,Apps,Communities,Bengaluru,Karnataka,Playo is a sports networking app that serves as a community platform to connect sports enthusiasts.,560008,$1M to $10M,2014,playo.co/about,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/playo,Amit Roushan,Daanish Suhail,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/playo,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/playo,"Oct 1, 2021",—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/playo,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/playo,ah! Ventures,ANME,Thirteen Initiatives,
Unbxd,Artificial Intelligence (AI),Big Data,Bengaluru,Karnataka,Unbxd is an e-commerce product discovery platform that connects shoppers to the products they are most likely to buy.,560102,$1M to $10M,"Oct 4, 2011",www.unbxd.com,2,Pavan Sondur,Prashant Kumar,101-250,7,M&A,"Jan 1, 2019",—,Venture - Series Unknown,"$ 1,45,00,000.00",Eight Roads Ventures,Indian Angel Network,InnoVen Capital,Chiratae Ventures,Chiratae Ventures,13
91springboard,Communities,Coworking,Panaji,Goa,"91springboard is a co-working community company that provides a networking events, mentor-ship, investing, funding, and part time office.",—,$50M to $100M,2012,91springboard.com,5,Anand Vemuri,Deepak Sharma,251-500,6,—,"Jun 23, 2020","₹ 45,00,00,000.00",Venture - Series Unknown,"$ 3,92,51,393.00",NeoStencil,FreakOut Holdings,Shinsei Corporate Investment,Khattar Holdings,AMA Holdings,12
Yogabars,Fitness,Health Care,Bangalore,Karnataka,Yogabars is a food company that sells and manufactures protein and fiber-rich bars.,560060,Less than $1M,2014,www.yogabars.in/,1,Suhasini Sampath,,Nov-50,6,Early Stage Venture,"May 5, 2023","₹ 1,75,00,00,000.00",Series B,"$ 3,30,08,938.00",Elevation Capital,Fireside Ventures,ITC,,,3
Redesyn,E-Commerce,Fashion,Mumbai,Maharashtra,"Redesyn is a fashion-tech company, building India’s first custom design platform for Independent artists and designers.",400072,$1M to $10M,2013,www.redesyn.com/,3,Pratyush Singh,Shikhar Vaidya,01-Oct,7,Early Stage Venture,"Dec 25, 2023",—,Series A,"$ 13,46,543.00",Capri Global Capital,LetsVenture,She Capital,Shastra VC,Anthill Ventures,16
Nxtra Data,Data Center,Information Services,Gurgaon,Haryana,Nxtra Data is an Information technology based company.,122015,$10M to $50M,2013,nxtradata.com/,—,,,101-250,1,Private Equity,"Jul 1, 2020","₹ 17,88,00,00,000.00",Private Equity,"₹ 17,88,00,00,000.00",The Carlyle Group,,,,,1
CENTA,Career Planning,Consulting,Bengaluru,Karnataka,"CENTA is an accreditation, job, and development organization for teachers and school leaders.",560075,$1M to $10M,"Jan 1, 2014",centa.org,2,Anjali Jain,Ramya Venkataraman,Nov-50,3,—,"Nov 16, 2023","₹ 8,30,00,000.00",Venture - Series Unknown,"₹ 15,30,00,000.00",Omidyar Network,Impact India Investment Partners,Narotam Sekhsaria Family Office,Kabir Narang,Leo Puri,10
Trulymadly.com,Apps,Dating,New Delhi,Delhi,Trulymadly is a dating platform that uses a match making algorithm.,110030,$1M to $10M,2013,trulymadly.com,4,Hitesh Dhingra,Rahul Kumar,Nov-50,6,Early Stage Venture,"Apr 1, 2022",—,Series A,"$ 89,23,539.00",Inflection Point Ventures,AngelList,9Unicorns Accelerator Fund,Venture Catalysts,HEM ANGELS,25
PropTiger,Intellectual Property,Marketing,Gurgaon,Haryana,PropTiger is an independent real estate advisor with a pan-India presence. We possess vast experience and knowledge of real estate in India.,122003,$50M to $100M,"Feb 1, 2011",www.proptiger.com,3,Dhruv Agarwala,Kartik Varma,501-1000,2,—,"Jan 10, 2017","$ 5,50,00,000.00",Venture - Series Unknown,"$ 8,50,00,000.00",SoftBank,News Corp,REA Group,,,3
Bombay Shirt Company,E-Commerce,Fashion,Mumbai,Maharashtra,Bombay Shirt Company is the first online custom shirt brand in India.,400011,$1M to $10M,2012,bombayshirts.com,1,Akshay Narvekar,,Nov-50,2,—,"Dec 12, 2019","$ 80,00,000.00",Venture - Series Unknown,"$ 89,84,413.00",Lightbox,Patni Group,,,,2
Ergos,AgTech,FinTech,Samastipur,Bihar,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,848101,$10M to $50M,Apr-12,ergos.in,2,Kishor Kumar Jha,Praveen Kumar,251-500,10,Early Stage Venture,"Sep 22, 2023","$ 70,00,000.00",Series B,"$ 3,40,19,557.00",Aavishkaar Venture Capital,Trifecta Capital Advisors,CDC Group,Chiratae Ventures,Chiratae Ventures,7
R for Rabbit,Baby,,Ahmedabad,Gujarat,R for Rabbit focuses on baby’s development and safety.,380015,$1M to $10M,2014,rforrabbit.com/,2,Kinjal Popat,Kunal Popat,01-Oct,2,Early Stage Venture,"Mar 23, 2023",—,Series B,"₹ 40,00,00,000.00",Negen Capital Services,Xponentia Capital Partners,,,,2
Imarticus Learning,Banking,Education,Mumbai,Maharashtra,"Imarticus provides a range of Training, Placement and Corporate Solutions designed to assist individuals and firms.",400058,$1M to $10M,2012,imarticus.org/,2,Nikhil Barshikar,Sonya Hooja,51-100,2,Early Stage Venture,"Aug 23, 2018","$ 20,00,000.00",Series B,"$ 30,00,000.00",CBA Capital,Anil Gudibande,Taranjit Jaswal,Tashwinder Singh,,4
ScoopWhoop,Internet,Media and Entertainment,New Delhi,Delhi,ScoopWhoop is an internet media company that creates and curates India-specific stories for a wider audience.,110070,$1M to $10M,2013,www.scoopwhoop.com/,2,Rishi Pratim Mukherjee,Sattvik Mishra,01-Oct,3,M&A,"Feb 22, 2016","$ 15,00,000.00",Venture - Series Unknown,"$ 51,70,846.00",Kalaari Capital,AdvantEdge Founders,Smile Group,IgniteWorld,,4
CreditMantri,Credit,Financial Services,Chennai,Tamil Nadu,CreditMantri is a data-driven platform that provides credit and financial reports to users based on their credit history.,600017,$1M to $10M,2012,www.creditmantri.com,3,Gowri Thyagarajan Mukherjee,Ranjit Punja,101-250,4,—,"May 18, 2020","₹ 6,00,00,000.00",Venture - Series Unknown,"$ 1,09,97,913.00",Accion,IDG Capital,Elevar Equity,Accion Venture Lab,Trifecta Capital Advisors,9
Sole Threads,E-Commerce,Fashion,New Delhi,Delhi,Sole Threads offers an online store that enables its users to find and buy from a range of flip-flops.,110064,$10M to $50M,"Apr 7, 2012",www.solethreads.com/,2,Gaurav Chopra,Sumant Kakaria,251-500,3,Early Stage Venture,"Jul 18, 2023","$ 37,00,000.00",Series A,"$ 54,32,725.00",Fireside Ventures,DSG Consumer Partners,Propel Accelerator,Saama Capital,Nihir Parikh,6
Unicommerce eSolutions Pvt. Ltd.,E-Commerce,Marketplace,New Delhi,Delhi,Online Multi Channel Order Fulfillment Platform which enables E-commerce merchants of all sizes to sell more.,110020,$10M to $50M,"Feb 1, 2012",www.unicommerce.com,2,Karun Singla,Manish Gupta,51-100,4,—,"Dec 16, 2021",—,Venture - Series Unknown,"$ 1,10,00,000.00",Tiger Global Management,Nexus Venture Partners,SoftBank Vision Fund,,,3
BigBasket,Delivery,E-Commerce,Bangalore,Karnataka,BigBasket is an online grocery shopping and supermarket that delivers personal and household needs to the customer's doorstep.,560071,$100M to $500M,"Oct 1, 2011",bigbasket.com,5,Abhinay Choudhari,Hari Menon,10001,21,M&A,"Dec 21, 2022","$ 20,00,00,000.00",Venture - Series Unknown,"$ 1,50,80,63,927.00",Alibaba Group,British International Investment,Paytm Mall,International Finance Corporation,Bessemer Venture Partners,18
Intelligence Node,Artificial Intelligence (AI),Big Data,Mumbai,Maharashtra,Intelligence Node is a real-time retail price intelligence platform that develops artificial intelligence and machine learning analytical.,400093,$10M to $50M,Aug-12,www.intelligencenode.com/,3,Sanjeev Sularia,Slavcho Ivanov,101-250,4,Early Stage Venture,"Jul 25, 2019","$ 55,00,000.00",Series B,"$ 1,06,00,000.00",BlackSoil,New Enterprise Associates,Orios Venture Partners,Cornerstone Venture Partners Fund,Calibre Ventures,5
TravelTriangle,E-Commerce,Personalization,Haryana,Haryana,TravelTriangle enables travel enthusiasts to reserve a personalized holiday plan with a local travel agent.,122015,Less than $1M,"Jul 1, 2011",traveltriangle.com,3,Prabhat Gupta,Sanchit Garg,251-500,7,Late Stage Venture,"Nov 18, 2019","$ 1,30,00,000.00",Series D,"$ 4,79,00,000.00",Bessemer Venture Partners,InnoVen Capital,RB Investments Pte. Ltd.,SAIF Partners,Aneesh Reddy,10
Instantpay India Limited,Financial Exchanges,Financial Services,New Delhi,Delhi,Modern Business Banking,—,$1M to $10M,2013,www.instantpay.in,2,Amol Sonbarse,Shailendra Agarwal,101-250,1,Seed,"Dec 30, 2016","₹ 34,00,00,000.00",Seed,"₹ 34,00,00,000.00",RB Investments Pte. Ltd.,Kaleden Holdings,,,,2
Banyan Nation,Recycling,Waste Management,Hyderabad,Andhra Pradesh,Unlocking circular economy and the market for premium recycled plastics in India through technology innovations across the value chain,502307,$10M to $50M,"Jul 13, 2013",www.banyannation.com/,1,Mani Vajipey,,101-250,6,Early Stage Venture,"May 1, 2022","$ 30,00,000.00",Series A,"$ 1,43,00,000.00",Artha Capital,,,,,1
Flock,Apps,Collaboration,Mumbai,Maharashtra,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,—,$1M to $10M,2014,www.flock.com,1,Bhavin Turakhia,,101-250,3,—,"Apr 23, 2018",—,Venture - Series Unknown,"$ 4,50,00,000.00",Plug and Play,Bhavin Turakhia,,,,2
The Kabadiwala,Communities,E-Commerce,Bhopal,Madhya Pradesh,TheKabadiwala works on waste management and organizing the waste sector.,—,$1M to $10M,2013,www.thekabadiwala.com,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/kabadiwala,Anurag Asati,Kavindra Raghuwanshi,Nov-50,3,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/kabadiwala,"Nov 22, 2022","$ 20,00,000.00",Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/kabadiwala,Roots Ventures,Arjun Purkayastha,Swachhata Startup Challenge,Naveen Reddy,2
uFaber,Education,Internet,Mumbai,Maharashtra,"Ufaber provides online and offline courses on various topics such as Android development, drawing, big data, chemistry, and more.",400072,$1M to $10M,2013,ufaber.com,—,2,",",https://www.crunchbase.com/person/anirudh-swarnkar,https://www.crunchbase.com/person/rohit-jain,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/ufaber,2,Early Stage Venture,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/ufaber,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/ufaber,"$ 30,83,000.00",",,",https://www.crunchbase.com/organization/ahventures,https://www.crunchbase.com/organization/gray-matters-capital,https://www.crunchbase.com/organization/jpin,
SMECorner,Artificial Intelligence (AI),Banking,Mumbai,Maharashtra,SMEcorner is a financial lending firm that focuses on providing services to small and medium enterprises.,400059,$100M to $500M,2014,www.smecorner.com/,2,Samir Bhatia,Sneha Shah,251-500,6,M&A,"Mar 1, 2020","$ 3,00,00,000.00",Series B,"$ 4,34,69,031.00",Vivriti Capital,Northern Arc,Capital First,Accion Venture Lab,Quona Capital,9
POPxo,Advertising,Beauty,New Delhi,Delhi,"POPxo is India's online community for women that deals everything from fashion, beauty, lifestyle, work, and etc.",110016,$1M to $10M,2013,www.popxo.com/,2,Namrata Bostrom,Priyanka Gill,101-250,7,M&A,"Apr 25, 2018","₹ 37,00,00,000.00",Series C,"$ 1,23,79,196.00",500 Global,Oppo,The Chennai Angels,Kalaari Capital,STRIVE,21
Livguard,Battery,Manufacturing,Gurgaon,Haryana,"Livguard is a manufacturer of solar panels, inverters, and batteries.",—,$10M to $50M,"Jan 1, 2014",www.livguard.com/,1,Rakesh Malhotra,,101-250,1,Private Equity,"Apr 5, 2019","₹ 2,20,00,00,000.00",Private Equity,"₹ 2,20,00,00,000.00",Chrys Capital,Ncubate Capital Partners,,,,2
PickYourTrail,Online Portals,Tourism,Chennai,Tamil Nadu,"Pickyourtrail is a platform that empowers travelers to create, customize and book vacations. Google and BCG have lauded PYTs model.",—,$10M to $50M,2014,pickyourtrail.com/,2,Hari Ganapathy,Srinath Shankar,51-100,2,—,"Mar 22, 2022",—,Venture - Series Unknown,"$ 30,00,000.00",Kunal Shah,Girish Mathrubootham,Kumar Vembu,Adit Parekh,Shyam Sekhar,6
Advantage Club,Artificial Intelligence (AI),Employee Benefits,Gurgaon,Haryana,Advantage Club provides an AI-driven platform intended for driving employee engagement.,122015,$1M to $10M,2014,secure.workadvantage.in/home,3,Smiti Deorah,Sourabh Deorah,51-100,5,Seed,"Sep 30, 2021","$ 33,00,000.00",Seed,"$ 66,92,813.00",Y Combinator,Mumbai Angels,Axilor Ventures,Kube VC,growX ventures,24
Toprankers,Education,,Bengaluru,Karnataka,Toprankers is a E-learning Platfrorm for practice sets and test Series,—,$1M to $10M,2014,www.toprankers.com,2,Gaurav Goel,Mehbub Hussain,51-100,2,Early Stage Venture,"Jun 13, 2022","₹ 31,20,00,000.00",Series A,"₹ 35,70,00,000.00",Sixth Sense Ventures,Careernet,"Ideation Initiative Pvt. Ltd,",,,3
Medkart Pharmacy,Health Care,Medical,,,Medkart Pharmacy helps people who buy medicines regularly by providing them access to genuine generic medicines at discounted prices.,380009,$10M to $50M,2014,www.medkart.in/,1,India,Asia-Pacific (APAC),51-100,1,Early Stage Venture,"Nov 23, 2021","₹ 40,00,00,000.00",Series A,"₹ 40,00,00,000.00",Ankur Agarwal,,Alkemi Venture Partners,Insitor Partners,Prashant Poddar,3
Bombay Hemp Company,Agriculture,AgTech,Mumbai,Maharashtra,"Bombay Hemp Company, also known as BOHECO is a privately held, social enterprise that promotes industrial hemp.",400013,$1M to $10M,2013,boheco.com/,7,Avnish Pandya,Chirag Tekchandaney,Nov-50,5,Seed,"Nov 16, 2021","$ 20,00,000.00",Seed,"$ 59,05,696.00",Rajan Anandan,Yash Kela,MA Tejani,Sanvar Oberoi,Ginni International,10
DeHaat,Agriculture,AgTech,Patna City,Bihar,DeHaat is an AgriTech startup that offers technology solutions to improve supply chain and production efficiency in farming.,800020,$500M to $1B,"Feb 6, 2012",agrevolution.in,5,Abhishek Dokania,Adarsh Srivastava,1001-5000,8,Late Stage Venture,"Oct 21, 2022","$ 6,00,00,000.00",Series E,"$ 25,42,86,284.00",AgFunder,Temasek Holdings,Omnivore,Lightrock,Prosus Ventures,12
Stelis Biopharma,Biopharma,Biotechnology,Bangalore,Karnataka,Stelis Biopharma is a biopharmaceutical company that delivers affordable treatments to patients in both emerging and developed markets.,560 105,$10M to $50M,2013,stelisbiosource.com,1,Arun Kumar,,251-500,3,Late Stage Venture,"Mar 19, 2021","$ 12,50,00,000.00",Series C,"$ 23,00,00,000.00",Strides Pharma Science,TPG Growth,RouteOne,Think Investments,Tenshi Life Sciences,7
Unocoin,Bitcoin,Financial Exchanges,Tumkur,Karnataka,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",572102,$1M to $10M,"Dec 1, 2013",www.unocoin.com/,4,Abhinand Kaseti,Harish B V,Nov-50,5,Early Stage Venture,"Oct 8, 2020","$ 50,00,000.00",Series A,"$ 1,00,22,665.00",Digital Currency Group,Blume Ventures,BnkToTheFuture,ah! Ventures,Boost VC,13
Namaste Credit,Banking,Financial Services,Bengaluru,Karnataka,"Namaste Credit is an online marketplace developing a lending ecosystem for financial advisors, lenders, SMEs, and loan agents.",560075,$10M to $50M,2014,www.namastecredit.com,3,Gaurav Anand,Krishnan Parameswaran,01-Oct,1,Early Stage Venture,"Apr 3, 2018","$ 38,00,000.00",Series A,"$ 38,00,000.00",Nexus Venture Partners,,,,,1
Isprava,Architecture,Construction,Mumbai,Maharashtra,"Isprava is a real estate agency that specializes in the design, architecture, and construction of luxury homes and villas.",—,$10M to $50M,2013,www.isprava.com/,2,Dhimaan Shah,Nibhrant Shah,101-250,2,—,"Jan 19, 2023","$ 1,95,00,000.00",Venture - Series Unknown,"$ 14,95,00,000.00",Symphony International Holdings,Burman Family Holdings,Godrej family office,,,3
edureka!,Big Data,Blockchain,Bangalore,Karnataka,"Edureka is an e-learning platform providing live, online training in trending technologies.",560048,$1M to $10M,May-11,www.edureka.co,4,Abhishek Vinod Singh,Kapil Tyagi,501-1000,1,M&A,"Jun 29, 2018","$ 20,00,000.00",Series A,"$ 20,00,000.00",Leo Capital,,,,,1
Moonfrog Labs,Gaming,Mobile,Bangalore,Karnataka,Moonfrog Labs is an independent game studio focusing on Board and Social Card Games.,560008,$1M to $10M,"Nov 23, 2013",www.moonfroglabs.com/,5,Ankit Jain,Dimpalkumar Maisuriya,101-250,2,M&A,"Mar 11, 2015","$ 1,50,00,000.00",Series A,"$ 1,60,00,000.00",Tiger Global Management,Peak XV Partners,,,,2
