company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
The iStartup,Advertising,,Dehra Dun,Uttarakhand,The iStartup is a virtual marketing company that helps founders and entrepreneurs in their online marketing.,—,—,"Apr 9, 2017",theistartup.com,1,Charu Dubey,01-Oct,1,Seed,"Jul 26, 2017",—,Angel,—,,—,,,,,
Ubiqc,Customer Service,Enterprise,Noida,Uttar Pradesh,"UBIQC is an innovative product that will redefine the way businesses engage, expand, and retain customers.",201301,—,2017,www.ubiqc.com,—,,01-Oct,1,Seed,"Nov 27, 2019",—,Seed,—,India Accelerator,1,,,,,
Erode Street,Beauty,Fashion,Erode,Tamil Nadu,"Erode Street is an Indian retail clothing chain. It specialises in cultural & fast fashion, and sells clothing, and beauty products.",—,—,2017,www.erodestreet.com,—,,Nov-50,1,M&A,"Sep 11, 2017",—,Pre-Seed,—,,—,,,,,
EATh,Artificial Intelligence (AI),Hardware,Hyderabad,Andhra Pradesh,Eath  builds pocket-sized AI devices to analyse milk health.,500019,—,2018,www.eath.in/,—,,01-Oct,1,Seed,"Mar 26, 2020",—,Pre-Seed,—,Electropreneur Park,1,,,,,
Tikli,Beauty,E-Commerce,Bangalore,Karnataka,Tikli is a fashion and wellness community platform to get solutions to beauty queries.,—,—,"Jan 1, 2017",www.tikli.in/,1,Priyanka Das Mohanty,01-Oct,1,Seed,"Jan 15, 2018",—,Seed,—,9Start,1,,,,,
Promore360,Advertising,Marketing,Mumbai,Maharashtra,Promore360 is an advertising and marketing company.,—,$1M to $10M,2018,www.promore360.com,1,Sachit Jain,01-Oct,1,Seed,"Jan 1, 2019",—,Angel,—,JITO Angel Network,1,,,,,
Spacifii,Home Improvement,Home Renovation,Mumbai,Maharashtra,Spacifii offers one stop home interior solutions for home owners to design their new or old house to a dream home.,400079,—,2017,spacifii.com/,1,Ravikumar M,Nov-50,1,Seed,"Aug 1, 2018",—,Seed,—,Z Nation Lab,1,,,,,
Cleanergy Tech Solutions,Machinery Manufacturing,Manufacturing,Pune,Maharashtra,"Cleanergy Tech Solutions is manufacturering of biogas plant, portable biogas plant & industrial biogas plant.",—,—,2017,cleanergy.co.in/,3,Dhananjay Abhang,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,IIM Calcutta Innovation Park,1,Rohit Hedda Vijaykumar,,,,
Delight P.I.,Consumer Reviews,CRM,Bangalore,Karnataka,B2B client gratification platform help brands to delight their customers.,560102,—,"May 1, 2017",delightpi.com/,3,Aniket Jain,01-Oct,1,Seed,"May 1, 2017",—,Seed,—,Walkover Web Solutions,1,Ravi Paliwal,,,,
Shellios Technolabs,Consulting,Information Technology,Noida,Uttar Pradesh,Shellios Technolabs develops anti-pollution helmet,—,—,2017,www.shellios.com,—,,01-Oct,1,Seed,"Aug 22, 2022",—,Seed,—,Department of Science and Technology,1,,,,,
Sanjevani Goats,,,Hooghly,West Bengal,Sanjevani Goats preserves quality germplasm of Black Bengal Goat to help poor farmers with animal husbandry as the Black Bengal breed.,—,—,2018,www.sanjevanigoats.com/,1,Kalyan Koley,51-100,1,Seed,"Jan 1, 2019",—,Seed,—,IIM Calcutta Innovation Park,1,,,,,
soujhe,Fitness,Health Care,Hyderabad,Andhra Pradesh,Soujhe Innovative is building healthcare devices for patients suffering from physiotherapy problems,500032,—,2018,soujhe.com/,2,Jhelum Das,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Derbi Foundation,2,Soumitra Das,CIE IIIT Hyderabad,,,
CreateYourStuff,E-Commerce,Gift,Gurgaon,Haryana,"CreateYourStuff is India's number customized gifting store. It is a unit of Bare Switch Pvt.Ltd,",122001,—,"Jan 1, 2017",www.createyourstuff.com,,,,,,,,,,,,,,,,
style,"shape and the brand of the product they are willing to  buy
The mission is to give people the power to have what they actually  want and not what they have among the given options.\"",—,11-50,1,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/createyourstuff,—,,Unitus Ventures,https://www.crunchbase.com/organization/unitus-ventures,,,,,,,,,,,,,,,,
TechSamvad,Media and Entertainment,News,Jaipur,Rajasthan,TechSamvad is the only Media Platform reporting in Technology", Startups," and Business domain in Hindi.""",302001,—,"Jan 21, 2017",techsamvad.com/,1,Ashutosh Kumar Singh,01-Oct,1,Seed,"Jan 4, 2018",—,Pre-Seed,—,Pawas Jain,1,,,,,,,
Corn Junction,E-Commerce,Food and Beverage,Lucknow,Uttar Pradesh,Corn Junction offers a wide range of flavorful corn-based items.,—,—,2017,cornjunction.com,—,,01-Oct,1,Seed,"Jul 5, 2022",—,Pre-Seed,—,Crimansqua Ventures,1,,,,,
Nation of Sport,News,Social Media,Mumbai,Maharashtra,Nation of Sport is the premier source of sports journalism covering every aspect of sport and its development in India.,400072,—,2018,www.nationofsport.com/,2,David Rajan,01-Oct,1,Seed,"Oct 23, 2018",—,Seed,—,HATCHER+,2,Jonathan Rego,thinQbate,,,
Creatomojo,,,Bangalore,Karnataka,CreatoMojo is a online cloud-based platform which allows anyone to create multilingual  videos without any skills in minutes.,—,—,2018,www.creatomojo.com/,3,Gita Paul,Nov-50,2,Seed,"Aug 26, 2019",—,Seed,—,Boomtown Accelerators,2,Shaishav Mahaseth,Right Side Capital Management,,,
Resicare,Health Care,Home Health Care,Bangalore,Karnataka,Resicare is a home healthcare company,560043,—,2018,www.resicare.in/,1,Maloor Suresh,251-500,1,—,"Nov 2, 2018",—,Venture - Series Unknown,—,Gemba Capital,1,,,,,
NevertonY.com,Commercial Real Estate,Consulting,New Delhi,Delhi,NevertonY.com is a India-Based Online Estate Agent,110077,—,2018,nevertony.com,1,Hemant Lochav,01-Oct,3,M&A,"Sep 25, 2019",—,Seed,—,Hemant Lochav,1,,,,,
R2 Promise,Renewable Energy,,Bengaluru,Karnataka,"R2 is a Management, Infromation  technology Company.",—,—,2017,r2promise.com/,—,,01-Oct,1,Seed,"May 22, 2018",—,Seed,—,Brigade Real Estate Accelerator Program (REAP),1,,,,,
Technokriti Solutions,Android,Information Technology,Ghaziabad,Uttar Pradesh,"Technokriti Solutions develops android apps, games, ios apps, enterprise solutions and others.",201010,$1M to $10M,"Mar 27, 2017",www.technokriti.com,1,Pradeep Mittal,Nov-50,1,Seed,"Mar 28, 2017",—,Seed,—,,—,,,,,
E2EM,Electric Vehicle,,New Delhi,Delhi,E2EM develops portable electric mopeds.,110021,—,2018,,—,,01-Oct,1,Seed,"Mar 26, 2020",—,Pre-Seed,—,Electropreneur Park,1,,,,,
Zest Smart Solutions,Apps,Financial Services,Mumbai,Maharashtra,Zest Smart Solutions is an app page for financial services.,400093,—,2017,www.ridezest.in/,2,Meet Pagariya,01-Oct,1,Seed,"Jan 1, 2019",—,Seed,—,JITO Angel Network,1,Venkatesh Agrawal,,,,
DOOT,Location Based Services,Tourism,Patna City,Bihar,DOOT mentored by Autonebula will bring all cab operators on its platform. Hence reduce cost of travel & increase income of operators.,80001,—,2017,www.doot.one,2,Dinesh Kumar,01-Oct,1,Seed,"Jan 1, 2017",—,Seed,—,Auto Nebula Capital Advisers Private Limited,1,Umesh kumar,,,,
Aidia Technovations,Information Services,Information Technology,Mumbai,Maharashtra,'AIDIA Technovations’ is destined to transform the way a human uses features-systems-technology.,400093,$1M to $10M,2017,www.aidiatechnovations.com/,1,Jigish Sonagara,01-Oct,1,Seed,"Jun 1, 2018",—,Seed,—,,—,,,,,
Xamplified,E-Learning,Education,New Delhi,Delhi,"Xamplified is an online educational resource that publishes academic articles on biology, chemistry, physics, and many other subjects.",110023,—,"Jan 1, 2017",www.chemistrylearning.com,2,Djeet Singh,01-Oct,1,Seed,"Feb 1, 2008",—,Seed,—,,—,Prashant Sharma,,,,
Lead-ERS,Advertising,,Vadodara,Gujarat,Lead-ERS is a B2B marketing company.,—,—,2017,lead-ers.co/,—,,Nov-50,1,—,"Aug 1, 2015",—,Venture - Series Unknown,—,,—,,,,,
Teeshul,E-Commerce,,Pune,Maharashtra,Teeshul offers streetwear and anime merchandise store.,—,—,"Aug 9, 2017",www.teeshul.com,1,Mikhil Gawas,01-Oct,2,Seed,"Feb 15, 2019",—,Seed,—,,—,,,,,
Sportelos,,,Bangalore,Karnataka,Sportelos is a game on mobile app company,560068,—,2017,www.sportelos.com/,1,Subramanyam Yeleswarapu,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Derbi Foundation,1,,,,,
Sae Fuel,Energy,,Pune,Maharashtra,Sae Fuel is an alternate energy source built for vehicles.,—,—,2017,,—,,Nov-50,1,Seed,"Jan 1, 2019",—,Seed,—,Auto Nebula Capital Advisers Private Limited,1,,,,,
QuikePic,,,Mumbai,Maharashtra,QuikePic is an art technology platform brings organizations together to exchange information digitally.,400064,—,2017,,3,Alok Singh,01-Oct,1,Seed,"Jan 9, 2019",—,Seed,—,Axilor Ventures,1,Harsh Sharma,,,,
Wiper (Automotive Device Control),Automotive,,Kochi,Kerala,An automotive device control system designed to automate automotive accessories.,678572,—,2017,,1,Vimal Kumar,Nov-50,1,Seed,"Jan 1, 2017",—,Seed,—,Auto Nebula Capital Advisers Private Limited,2,,Makervillage,,,
AstroTalk,Consulting,Digital Entertainment,Noida,Uttar Pradesh,"AstroTalk is a platform to consult best Astrologers of India online, on-call, or through chat.",201301,—,"Oct 18, 2017",astrotalk.com/,1,Puneet Gupta,101-250,1,Early Stage Venture,"Feb 6, 2024","₹ 1,63,00,00,000.00",Series A,"₹ 1,63,00,00,000.00",Left Lane Capital,1,,,,,
